year,RegionName,Sum of Intake
2012,Amravati,12891
,Aurangabad,19190
,Mumbai,45480
,Nagpur,33334
,Nashik,29387
,Pune,101091
2012 Total,,241373
2013,Amravati,14219
,Aurangabad,20305
,Mumbai,48545
,Nagpur,34688
,Nashik,30702
,Pune,106056
2013 Total,,254515
2014,Amravati,24635
,Aurangabad,33293
,Mumbai,65889
,Nagpur,55032
,Nashik,48160
,Pune,154126
2014 Total,,381135
2015,Amravati,15962
,Aurangabad,20881
,Mumbai,51125
,Nagpur,36712
,Nashik,30480
,Pune,101842
2015 Total,,257002
2016,Amravati,14128
,Aurangabad,19297
,Mumbai,45409
,Nagpur,33411
,Nashik,29590
,Pune,91485
2016 Total,,233320
2017,Amravati,19732
,Aurangabad,27684
,Mumbai,60502
,Nagpur,47526
,Nashik,44510
,Pune,124850
2017 Total,,324804
2018,Amravati,17908
,Aurangabad,27675
,Mumbai,57366
,Nagpur,43483
,Nashik,42640
,Pune,121609
2018 Total,,310681
2019,Amravati,17894
,Aurangabad,27946
,Mumbai,55711
,Nagpur,39418
,Nashik,41768
,Pune,116875
2019 Total,,299612
Grand Total,,2302442
